[14/Mar/2026:05:16:18 +0000] 404 - GET http ai-electutor.com "/wp-admin/setup-config.php" [Client 104.23.221.86] [Length 122] [Gzip 1.35] "http://ai-electutor.com/wp-admin/setup-config.php" "-"
[14/Mar/2026:05:21:16 +0000] 200 - GET http 158.247.221.212 "/" [Client 185.16.39.146] [Length 1033] [Gzip -] "Wget" "-"
[14/Mar/2026:05:31:42 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 20.169.50.74] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:31:50 +0000] 200 - GET http localhost-nginx-proxy-manager "/" [Client 93.174.93.12] [Length 1033] [Gzip -] "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) baidu.sogo.uc.Chrome/36.0.1985.125 Safari/537.36" "-"
[14/Mar/2026:05:32:15 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 206.189.95.232] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:16 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 206.189.95.232] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:16 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 157.245.36.108] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:16 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 157.245.36.108] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:17 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 206.189.95.232] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:18 +0000] 400 - - http localhost "-" [Client 206.81.12.187] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:19 +0000] 400 - - http localhost "-" [Client 164.90.228.79] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:32:19 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 157.245.36.108] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:36:23 +0000] 200 - GET http 158.247.221.212 "/" [Client 185.177.72.51] [Length 568] [Gzip 1.86] "curl/8.7.1" "-"
[14/Mar/2026:05:36:24 +0000] 404 - GET http 158.247.221.212 "/.env" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:24 +0000] 404 - GET http 158.247.221.212 "/.env.local" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:24 +0000] 404 - GET http 158.247.221.212 "/.env.development" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:25 +0000] 404 - GET http 158.247.221.212 "/.env.production" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:25 +0000] 404 - GET http 158.247.221.212 "/.env.staging" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:25 +0000] 404 - GET http 158.247.221.212 "/.env.test" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:25 +0000] 404 - GET http 158.247.221.212 "/.env.example" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:26 +0000] 404 - GET http 158.247.221.212 "/.env.sample" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:26 +0000] 404 - GET http 158.247.221.212 "/.env.backup" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:26 +0000] 404 - GET http 158.247.221.212 "/.env.save" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:27 +0000] 404 - GET http 158.247.221.212 "/.env.old" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:27 +0000] 404 - GET http 158.247.221.212 "/.env.tmp" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:27 +0000] 404 - GET http 158.247.221.212 "/.env.dist" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:27 +0000] 404 - GET http 158.247.221.212 "/.env.default" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:28 +0000] 404 - GET http 158.247.221.212 "/.env.template" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:28 +0000] 404 - GET http 158.247.221.212 "/.env.working" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:28 +0000] 404 - GET http 158.247.221.212 "/.env.current" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:29 +0000] 404 - GET http 158.247.221.212 "/.env.previous" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:29 +0000] 404 - GET http 158.247.221.212 "/.env.original" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:29 +0000] 404 - GET http 158.247.221.212 "/.env.copy" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:29 +0000] 404 - GET http 158.247.221.212 "/.env.bak" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:30 +0000] 404 - GET http 158.247.221.212 "/.env.php" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:30 +0000] 404 - GET http 158.247.221.212 "/.env.py" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:31 +0000] 404 - GET http 158.247.221.212 "/.env.sh" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:31 +0000] 404 - GET http 158.247.221.212 "/.env.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:31 +0000] 404 - GET http 158.247.221.212 "/.env.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:31 +0000] 404 - GET http 158.247.221.212 "/.env.yaml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:32 +0000] 404 - GET http 158.247.221.212 "/.env.xml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:32 +0000] 404 - GET http 158.247.221.212 "/.env.ini" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:32 +0000] 404 - GET http 158.247.221.212 "/.env.cfg" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:33 +0000] 404 - GET http 158.247.221.212 "/.env.conf" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:33 +0000] 404 - GET http 158.247.221.212 "/.env.config" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:33 +0000] 404 - GET http 158.247.221.212 "/.env.settings" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:33 +0000] 404 - GET http 158.247.221.212 "/.env.local.php" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:34 +0000] 404 - GET http 158.247.221.212 "/.env.local.py" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:34 +0000] 404 - GET http 158.247.221.212 "/.env.local.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:35 +0000] 404 - GET http 158.247.221.212 "/.env.local.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:35 +0000] 404 - GET http 158.247.221.212 "/.env.local.yaml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:35 +0000] 404 - GET http 158.247.221.212 "/.env.production.php" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:35 +0000] 404 - GET http 158.247.221.212 "/.env.production.py" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:36 +0000] 404 - GET http 158.247.221.212 "/.env.production.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:36 +0000] 404 - GET http 158.247.221.212 "/.env.production.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
