2026/03/14 05:16:18 [error] 200#200: *17 open() "/var/www/html/wp-admin/setup-config.php" failed (2: No such file or directory), client: 104.23.221.86, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/setup-config.php HTTP/1.1", host: "ai-electutor.com"
2026/03/14 05:36:24 [error] 255#255: *539 open() "/var/www/html/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:24 [error] 255#255: *539 open() "/var/www/html/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:24 [error] 255#255: *539 open() "/var/www/html/.env.development" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.development HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:25 [error] 255#255: *539 open() "/var/www/html/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:25 [error] 255#255: *539 open() "/var/www/html/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:25 [error] 255#255: *539 open() "/var/www/html/.env.test" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.test HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:25 [error] 255#255: *539 open() "/var/www/html/.env.example" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.example HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:26 [error] 255#255: *539 open() "/var/www/html/.env.sample" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.sample HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:26 [error] 255#255: *539 open() "/var/www/html/.env.backup" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.backup HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:26 [error] 255#255: *539 open() "/var/www/html/.env.save" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.save HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:27 [error] 255#255: *539 open() "/var/www/html/.env.old" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.old HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:27 [error] 255#255: *539 open() "/var/www/html/.env.tmp" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.tmp HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:27 [error] 255#255: *539 open() "/var/www/html/.env.dist" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.dist HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:27 [error] 255#255: *539 open() "/var/www/html/.env.default" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.default HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:28 [error] 255#255: *539 open() "/var/www/html/.env.template" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.template HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:28 [error] 255#255: *539 open() "/var/www/html/.env.working" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.working HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:28 [error] 255#255: *539 open() "/var/www/html/.env.current" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.current HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:29 [error] 255#255: *539 open() "/var/www/html/.env.previous" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.previous HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:29 [error] 255#255: *539 open() "/var/www/html/.env.original" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.original HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:29 [error] 255#255: *539 open() "/var/www/html/.env.copy" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.copy HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:29 [error] 255#255: *539 open() "/var/www/html/.env.bak" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.bak HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:30 [error] 255#255: *539 open() "/var/www/html/.env.php" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.php HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:30 [error] 255#255: *539 open() "/var/www/html/.env.py" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.py HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:30 [alert] 255#255: 512 worker_connections are not enough
2026/03/14 05:36:30 [error] 255#255: *1041 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /.env.js HTTP/1.1", upstream: "http://127.0.0.1:80/.env.js", host: "158.247.221.212"
2026/03/14 05:36:31 [error] 255#255: *539 open() "/var/www/html/.env.sh" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.sh HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:31 [error] 255#255: *539 open() "/var/www/html/.env.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:31 [error] 255#255: *539 open() "/var/www/html/.env.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:31 [error] 255#255: *539 open() "/var/www/html/.env.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:32 [error] 255#255: *539 open() "/var/www/html/.env.xml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.xml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:32 [error] 255#255: *539 open() "/var/www/html/.env.ini" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.ini HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:32 [error] 255#255: *539 open() "/var/www/html/.env.cfg" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.cfg HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:33 [error] 255#255: *539 open() "/var/www/html/.env.conf" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.conf HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:33 [error] 255#255: *539 open() "/var/www/html/.env.config" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.config HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:33 [error] 255#255: *539 open() "/var/www/html/.env.settings" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.settings HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:33 [error] 255#255: *539 open() "/var/www/html/.env.local.php" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local.php HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:34 [error] 255#255: *539 open() "/var/www/html/.env.local.py" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local.py HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:34 [alert] 255#255: 512 worker_connections are not enough
2026/03/14 05:36:34 [error] 255#255: *1544 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /.env.local.js HTTP/1.1", upstream: "http://127.0.0.1:80/.env.local.js", host: "158.247.221.212"
2026/03/14 05:36:34 [error] 255#255: *539 open() "/var/www/html/.env.local.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:35 [error] 255#255: *539 open() "/var/www/html/.env.local.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:35 [error] 255#255: *539 open() "/var/www/html/.env.local.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.local.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:35 [error] 255#255: *539 open() "/var/www/html/.env.production.php" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production.php HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:35 [error] 255#255: *539 open() "/var/www/html/.env.production.py" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production.py HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:36 [alert] 255#255: 512 worker_connections are not enough
2026/03/14 05:36:36 [error] 255#255: *2047 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /.env.production.js HTTP/1.1", upstream: "http://127.0.0.1:80/.env.production.js", host: "158.247.221.212"
2026/03/14 05:36:36 [error] 255#255: *539 open() "/var/www/html/.env.production.json" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production.json HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:36 [error] 255#255: *539 open() "/var/www/html/.env.production.yml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production.yml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:37 [error] 255#255: *539 open() "/var/www/html/.env.production.yaml" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /.env.production.yaml HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:37 [error] 255#255: *539 open() "/var/www/html/config/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:37 [error] 255#255: *539 open() "/var/www/html/config/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:37 [error] 255#255: *539 open() "/var/www/html/config/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:38 [error] 255#255: *539 open() "/var/www/html/config/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:38 [error] 255#255: *539 open() "/var/www/html/config/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:38 [error] 255#255: *539 open() "/var/www/html/config/.env.test" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /config/.env.test HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:39 [error] 255#255: *539 open() "/var/www/html/api/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /api/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:39 [error] 255#255: *539 open() "/var/www/html/api/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /api/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:39 [error] 255#255: *539 open() "/var/www/html/api/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /api/.env.production HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:39 [error] 255#255: *539 open() "/var/www/html/api/.env.staging" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /api/.env.staging HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:40 [error] 255#255: *539 open() "/var/www/html/api/.env.dev" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /api/.env.dev HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:40 [error] 255#255: *539 open() "/var/www/html/app/.env" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /app/.env HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:40 [error] 255#255: *539 open() "/var/www/html/app/.env.local" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /app/.env.local HTTP/1.1", host: "158.247.221.212"
2026/03/14 05:36:41 [error] 255#255: *539 open() "/var/www/html/app/.env.production" failed (2: No such file or directory), client: 185.177.72.51, server: localhost-nginx-proxy-manager, request: "GET /app/.env.production HTTP/1.1", host: "158.247.221.212"
